n,farey_size,raw_gap,f_value,total_pairs_at_gap,rank_left,rank_right,left_num,left_den,right_num,right_den,delta_num,delta_den_down,det,left_den_slack,right_den_slack,center2_left_offset,center2_right_offset,predicted_f,excess_over_predicted,predicted_template
401,49079,103,102,1,24539,24642,200,401,201,400,1,1,601,0,1,-1,2,102,0,True
402,49211,103,102,1,24605,24708,200,401,201,400,1,1,601,1,2,-1,2,102,0,True
403,49571,105,104,1,24784,24889,200,401,201,400,1,1,601,2,3,-1,2,104,0,True
404,49771,103,102,1,24784,24887,201,404,202,403,1,1,605,0,1,-2,1,102,0,True
405,49987,104,103,1,24993,25097,202,405,203,404,1,1,607,0,1,-1,2,103,0,True
406,50155,104,103,1,25077,25181,202,405,203,404,1,1,607,1,2,-1,2,103,0,True
407,50515,106,105,1,25256,25362,202,405,203,404,1,1,607,2,3,-1,2,105,0,True
408,50643,104,103,1,25219,25323,203,408,204,407,1,1,611,0,1,-2,1,103,0,True
409,51051,105,104,1,25525,25630,204,409,205,408,1,1,613,0,1,-1,2,104,0,True
410,51211,105,104,1,25605,25710,204,409,205,408,1,1,613,1,2,-1,2,104,0,True
411,51483,107,106,1,25740,25847,204,409,205,408,1,1,613,2,3,-1,2,106,0,True
412,51687,105,104,1,25740,25845,205,412,206,411,1,1,617,0,1,-2,1,104,0,True
413,52035,106,105,1,26017,26123,206,413,207,412,1,1,619,0,1,-1,2,105,0,True
414,52167,106,105,1,26083,26189,206,413,207,412,1,1,619,1,2,-1,2,105,0,True
415,52495,108,107,1,26246,26354,206,413,207,412,1,1,619,2,3,-1,2,107,0,True
416,52687,106,105,1,26239,26345,207,416,208,415,1,1,623,0,1,-2,1,105,0,True
417,52963,107,106,1,26481,26588,208,417,209,416,1,1,625,0,1,-1,2,106,0,True
418,53143,107,106,1,26571,26678,208,417,209,416,1,1,625,1,2,-1,2,106,0,True
419,53561,109,108,1,26779,26888,208,417,209,416,1,1,625,2,3,-1,2,108,0,True
420,53657,107,106,1,26723,26830,209,420,210,419,1,1,629,0,1,-2,1,106,0,True
421,54077,108,107,1,27038,27146,210,421,211,420,1,1,631,0,1,-1,2,107,0,True
422,54287,108,107,1,27143,27251,210,421,211,420,1,1,631,1,2,-1,2,107,0,True
423,54563,110,109,1,27280,27390,210,421,211,420,1,1,631,2,3,-1,2,109,0,True
424,54771,108,107,1,27279,27387,211,424,212,423,1,1,635,0,1,-2,1,107,0,True
425,55091,109,108,1,27545,27654,212,425,213,424,1,1,637,0,1,-1,2,108,0,True
426,55231,109,108,1,27615,27724,212,425,213,424,1,1,637,1,2,-1,2,108,0,True
427,55591,111,110,1,27794,27905,212,425,213,424,1,1,637,2,3,-1,2,110,0,True
428,55803,109,108,1,27794,27903,213,428,214,427,1,1,641,0,1,-2,1,108,0,True
429,56043,110,109,1,28021,28131,214,429,215,428,1,1,643,0,1,-1,2,109,0,True
430,56211,110,109,1,28105,28215,214,429,215,428,1,1,643,1,2,-1,2,109,0,True
431,56641,112,111,1,28319,28431,214,429,215,428,1,1,643,2,3,-1,2,111,0,True
432,56785,110,109,1,28284,28394,215,432,216,431,1,1,647,0,1,-2,1,109,0,True
433,57217,111,110,1,28608,28719,216,433,217,432,1,1,649,0,1,-1,2,110,0,True
434,57397,111,110,1,28698,28809,216,433,217,432,1,1,649,1,2,-1,2,110,0,True
435,57621,113,112,1,28809,28922,216,433,217,432,1,1,649,2,3,-1,2,112,0,True
436,57837,111,110,1,28809,28920,217,436,218,435,1,1,653,0,1,-2,1,110,0,True
437,58233,112,111,1,29116,29228,218,437,219,436,1,1,655,0,1,-1,2,111,0,True
438,58377,112,111,1,29188,29300,218,437,219,436,1,1,655,1,2,-1,2,111,0,True
439,58815,114,113,1,29406,29520,218,437,219,436,1,1,655,2,3,-1,2,113,0,True
440,58975,112,111,1,29377,29489,219,440,220,439,1,1,659,0,1,-2,1,111,0,True
441,59227,113,112,1,29613,29726,220,441,221,440,1,1,661,0,1,-1,2,112,0,True
442,59419,113,112,1,29709,29822,220,441,221,440,1,1,661,1,2,-1,2,112,0,True
443,59861,115,114,1,29929,30044,220,441,221,440,1,1,661,2,3,-1,2,114,0,True
444,60005,113,112,1,29891,30004,221,444,222,443,1,1,665,0,1,-2,1,112,0,True
445,60357,114,113,1,30178,30292,222,445,223,444,1,1,667,0,1,-1,2,113,0,True
446,60579,114,113,1,30289,30403,222,445,223,444,1,1,667,1,2,-1,2,113,0,True
447,60875,116,115,1,30436,30552,222,445,223,444,1,1,667,2,3,-1,2,115,0,True
448,61067,114,113,1,30421,30535,223,448,224,447,1,1,671,0,1,-2,1,113,0,True
449,61515,115,114,1,30757,30872,224,449,225,448,1,1,673,0,1,-1,2,114,0,True
