λ-range,Active roots (9–12),"Active direct (4,6,7,8)",x_min,Critical λ,α,β,Min margin,Min margin (exact)
"(13/11, 13/10)",10,—,15,13/11,0.03037190082644628,0.07954545454545454,17.19214876033058,8321/484
"(13/10, 17/13)","9,10",—,15,13/10,0.04254769921436588,0.10555555555555556,18.756228956228956,27853/1485
"(17/13, 7/5)","9,10,12",—,18,17/13,0.05375230775871802,0.14155982905982906,22.429360169744786,3002125/133848
"(7/5, 17/12)","9,10,12",4,18,7/5,0.10146883672961761,0.1845522533022533,23.18900868556463,1707091339/73616400
"(17/12, 13/9)","9,10,11,12",4,18,17/12,0.09803255142221731,0.1924614737114737,23.542952600688615,2079776899/88339680
"(13/9, 3/2)","9,10,11,12","4,8",18,13/9,0.07740565430485465,0.15768799102132436,24.449010231491293,996838957/40772160
"(3/2, 17/11)",12,—,18,3/2,0.033386752136752136,0.10416666666666667,26.294871794871796,2051/78
"(17/11, 19/12)","10,12",—,18,17/11,0.07374002260365897,0.20833333333333334,26.282528077982622,496109/18876
"(19/12, 17/10)","10,11,12",—,18,19/12,0.10059547985684349,0.28566919191919193,26.403612170657624,5980735/226512
"(17/10, 13/7)","9,10,11,12",—,18,19/11,0.14555811880192046,0.3877410468319559,28.083121905642567,58310671/2076360
"(13/7, 17/9)","9,10,11,12",6,18,13/7,0.19981594784083961,0.5020743145743146,29.329810052862,813835357/27747720
"(17/9, 2)","9,10,11,12","6,8",18,23/12,0.26667526957506077,0.6849585599585599,29.014886587690345,71768642299/2473511040
"(2, 19/9)","9,10,11,12",—,18,2,0.17935655113685417,0.48169191919191917,32.289890160344704,18285119/566280
"(19/9, 19/8)","9,10,11,12",8,18,19/9,0.27158115266401656,0.705311663644997,32.40622758840271,17176534651/530038080
"(19/8, 17/7)","9,10,11,12","7,8",18,31/13,0.2827909207678877,0.7433037048421663,37.089536644412775,1391410905103/37514917440
"(17/7, 5/2)","9,10,11,12","6,7,8",18,17/7,0.30784107346822903,0.804266170337599,37.368880221519994,754864091873/20200340160
"(5/2, 23/9)","9,10,11,12",—,18,5/2,0.2127433032736063,0.5858585858585859,40.5847619552165,22982339/566280
"(23/9, 19/7)","9,10,11,12",8,18,23/9,0.2892197577787451,0.7673799965466632,40.02666436343593,2651957041/66254760
"(19/7, 23/8)","9,10,11,12","6,8",18,19/7,0.4200930390449205,1.0397172272172273,40.25575092711706,29042137933/721440720
"(23/8, 3)","9,10,11,12","6,7,8",18,29/10,0.39360745427335087,1.0166292041292042,44.09843661895048,14139736829/320640320
"(3, 29/9)","9,10,11,12",—,18,3,0.26047057600087903,0.7108585858585859,48.60067104612559,6880397/141570
"(29/9, 23/7)","9,10,11,12",8,18,29/9,0.3726389317998519,1.0003669170335836,50.29213231056908,26656745249/530038080
"(23/7, 7/2)","9,10,11,12","6,8",18,23/7,0.43727715068613754,1.1085442335442335,50.163324196962435,28951891781/577152576
"(7/2, 31/8)","9,10,11,12",8,18,7/2,0.4419134593122064,1.193084693084693,53.85247303929559,3171540157/58893120
"(31/8, 4)","9,10,11,12","7,8",18,47/12,0.49997604667995044,1.3630790505790507,60.13735210918184,1041252830509/17314577280
"(4, 37/9)","9,10,11,12",—,18,4,0.42078570279327854,1.16729797979798,63.258559369923006,35822057/566280
"(37/9, 31/7)","9,10,11,12",8,18,37/9,0.5573117590385623,1.508973279806613,62.459415057499264,6621173687/106007616
"(31/7, 9/2)","9,10,11,12","6,8",18,31/7,0.5542722939060976,1.4804154179154179,68.25696900606054,65657809153/961920960
"(9/2, 41/9)","9,10,11,12",—,18,9/2,0.47942767810192055,1.3061868686868687,71.06411492547856,40242187/566280
"(41/9, 43/8)","9,10,11,12",8,18,41/9,0.5892908847438114,1.5918749460416126,69.80088912856978,4624641157/66254760
"(43/8, 11/2)","9,10,11,12","7,8",18,43/8,0.7400555262790683,1.9684482184482184,81.46055230852855,62686890143/769536768
"(11/2, 47/8)","9,10,11,12",8,18,11/2,0.6546567625858127,1.7789432789432789,85.4372349945121,5031665333/58893120
"(47/8, 6)","9,10,11,12","7,8",18,71/12,0.7734476574366719,2.0883607133607134,90.48958145277919,1566788851099/17314577280
"(6, 13/2)","9,10,11,12",8,18,61/10,0.8160514384174058,2.2250485625485625,92.88602554593814,6837934811/73616400
"(13/2, 59/9)","9,10,11,12",—,18,13/2,0.666915758203637,1.8573232323232323,103.13819312001131,7300637/70785
"(59/9, 10)","9,10,11,12",8,18,59/9,0.7433922127087758,2.0388446430113096,102.58009552823073,679641961/6625476
