λ_start,λ_end,active_roots,active_direct,x_min,alpha,beta,margin,margin_exact
13/11,6/5,10,—,15,0.03037190082644628,0.07954545454545454,17.19214876033058,8321/484
6/5,11/9,10,—,15,0.028636363636363637,0.075,17.495454545454546,3849/220
11/9,16/13,10,—,15,0.026515151515151516,0.06944444444444445,17.866161616161616,7075/396
16/13,5/4,10,—,15,0.0256993006993007,0.0673076923076923,18.00874125874126,10301/572
5/4,14/11,10,—,15,0.023863636363636365,0.0625,18.329545454545453,1613/88
14/11,9/7,10,—,15,0.02169421487603306,0.056818181818181816,18.708677685950413,9055/484
9/7,13/10,10,—,15,0.020454545454545454,0.05357142857142857,18.925324675324674,5829/308
13/10,17/13,"9,10",—,15,0.04254769921436588,0.10555555555555556,18.756228956228956,27853/1485
17/13,4/3,"9,10,12",—,18,0.05375230775871802,0.14155982905982906,22.429360169744786,3002125/133848
4/3,15/11,"9,10,12",—,18,0.046585333390888946,0.12268518518518519,23.038778813778812,3558109/154440
15/11,11/8,"9,10,12",—,18,0.03811527277436368,0.10037878787878787,23.75900084763721,4484749/188760
11/8,18/13,"9,10,12",—,18,0.03493900004316671,0.0920138888888889,24.02908411033411,4948069/205920
18/13,7/5,"9,10,12",—,18,0.03225138465523081,0.08493589743589744,24.25761610184687,5411389/223080
7/5,17/12,"9,10,12",4,18,0.10146883672961761,0.1845522533022533,23.18900868556463,1707091339/73616400
17/12,10/7,"9,10,11,12",4,18,0.09803255142221731,0.1924614737114737,23.542952600688615,2079776899/88339680
10/7,13/9,"9,10,11,12",4,18,0.08402790121904341,0.16496697746697747,24.036816514875955,2477305459/103062960
13/9,16/11,"9,10,11,12","4,8",18,0.07740565430485465,0.15768799102132436,24.449010231491293,996838957/40772160
16/11,19/13,"9,10,11,12","4,8",18,0.06333189897669925,0.1290174471992654,24.91282655303833,1241471917/49832640
19/13,3/2,"9,10,11,12","4,8",18,0.08697528204011304,0.21333527583527584,24.528801955135,1444577677/58893120
3/2,20/13,12,—,18,0.033386752136752136,0.10416666666666667,26.294871794871796,2051/78
20/13,17/11,12,—,18,0.03081854043392505,0.09615384615384616,27.041420118343197,4570/169
17/11,14/9,"10,12",—,18,0.07374002260365897,0.20833333333333334,26.282528077982622,496109/18876
14/9,11/7,"10,12",—,18,0.07210135543468876,0.2037037037037037,26.498471898471898,511553/19305
11/7,19/12,"10,12",—,18,0.06952630702630702,0.19642857142857142,26.837812187812187,537293/20020
19/12,8/5,"10,11,12",—,18,0.10059547985684349,0.28566919191919193,26.403612170657624,5980735/226512
8/5,21/13,"10,11,12",—,18,0.09657166066256975,0.27424242424242423,26.78746768383132,6320503/235950
21/13,13/8,"10,11,12",—,18,0.09285736602170169,0.2636946386946387,27.14179584983781,6660271/245388
13/8,18/11,"10,11,12",—,18,0.09053593187115914,0.2571022727272727,27.363250953591862,6886783/251680
18/11,5/3,"10,11,12",—,18,0.08779241878415432,0.2493112947658402,27.624970621664836,7169923/259545
5/3,22/13,"10,11,12",—,18,0.08047638388547479,0.22853535353535354,28.3228897365261,8019343/283140
22/13,17/10,"10,11,12",—,18,0.07428589281736135,0.21095571095571095,28.913436679870248,8868763/306735
17/10,12/7,"9,10,11,12",—,18,0.1076139306821125,0.2890151515151515,28.373934096206824,26779319/943800
12/7,19/11,"9,10,11,12",—,18,0.1024894577924881,0.27525252525252525,28.737080091625547,28478159/990990
19/11,7/4,"9,10,11,12",—,18,0.14555811880192046,0.3877410468319559,28.083121905642567,58310671/2076360
7/4,23/13,"9,10,11,12",—,18,0.13740554829569981,0.3658459595959596,28.660854171081443,32460137/1132560
23/13,16/9,"9,10,11,12",—,18,0.16389397154257293,0.451486013986014,28.44457634440152,69799577/2453880
16/9,9/5,"9,10,11,12",—,18,0.16082804759151562,0.44325196408529743,28.66184317926742,11236589/392040
9/5,20/11,"9,10,11,12",—,18,0.15285664531876653,0.42184343434343435,29.226736949918767,82752583/2831400
20/11,11/6,"9,10,11,12",—,18,0.14633458891379,0.4043273645546373,29.68892276226987,36986935/1245816
11/6,24/13,"9,10,11,12",—,18,0.14089954190964293,0.3897306397306397,30.074077605895788,25545523/849420
24/13,13/7,"9,10,11,12",—,18,0.1363006559830569,0.37737956487956487,30.399977858194642,223793693/7361640
13/7,15/8,"9,10,11,12",6,18,0.19981594784083961,0.5020743145743146,29.329810052862,813835357/27747720
15/8,17/9,"9,10,11,12",6,18,0.18497820746873778,0.46796085858585856,29.95243140697686,2968256/99099
17/9,19/10,"9,10,11,12","6,8",18,0.19753898278163365,0.5001888543555211,29.944109455575074,55550313991/1855133280
19/10,21/11,"9,10,11,12","6,8",18,0.24453846229851475,0.6119755244755245,29.18633215415121,20053531889/687086400
21/11,23/12,"9,10,11,12","6,8",18,0.23501278392343766,0.5898009818464364,29.54360527116805,66986730983/2267385120
23/12,25/13,"9,10,11,12","6,8",18,0.26667526957506077,0.6849585599585599,29.014886587690345,71768642299/2473511040
25/13,2,"9,10,11,12","6,8",18,0.2599584450798141,0.6693226645149722,29.26680993943299,5228295041/178642464
2,27/13,"9,10,11,12",—,18,0.17935655113685417,0.48169191919191917,32.289890160344704,18285119/566280
27/13,25/12,"9,10,11,12",—,18,0.15176323557733815,0.4075854700854701,34.245291674137825,22918319/669240
25/12,23/11,"9,10,11,12",—,18,0.14946379261404513,0.40140993265993263,34.40824180028726,23381639/679536
23/11,21/10,"9,10,11,12",—,18,0.1944735418392443,0.5191115702479339,33.616728313009304,2326681/69212
21/10,19/9,"9,10,11,12",—,18,0.19121251363675607,0.5103535353535353,33.84782121918486,95836721/2831400
19/9,17/8,"9,10,11,12",8,18,0.27158115266401656,0.705311663644997,32.40622758840271,17176534651/530038080
17/8,15/7,"9,10,11,12",8,18,0.2635863712377043,0.684586247086247,32.82085907063507,2577230389/78524160
15/7,28/13,"9,10,11,12",8,18,0.25330736654673136,0.6579392829392829,33.353956690648126,13750230017/412251840
28/13,13/6,"9,10,11,12",8,18,0.2469818251984403,0.6415411511565358,33.68201676450231,2865256413/85067840
13/6,24/11,"9,10,11,12",8,18,0.23960202695876745,0.6224099974099974,34.064753517332186,601853885/17667936
24/11,11/5,"9,10,11,12",8,18,0.23088044722097223,0.5998004520731793,34.51707877067659,22361003083/647824320
11/5,20/9,"9,10,11,12",8,18,0.22041455153561798,0.5726689976689977,35.05986907468988,3441308461/98155200
20/9,29/13,"9,10,11,12",8,18,0.20762290125351832,0.5395083311749979,35.72327944626167,18934698449/530038080
29/13,9/4,"9,10,11,12",8,18,0.2360897878971552,0.6309208953439722,35.273309076353385,5401123583/153122112
9/4,25/11,"9,10,11,12",8,18,0.2250200905376459,0.6022241647241647,35.847414205598206,4222332133/117786240
25/11,16/7,"9,10,11,12",8,18,0.2119377209309531,0.5683098467189376,36.52590208561482,23662367681/647824320
16/7,23/10,"9,10,11,12",8,18,0.20446208115570003,0.5489302364302364,36.9136094456243,338171187/9161152
23/10,30/13,"9,10,11,12",8,18,0.2548808527115637,0.666501554001554,36.1456430971903,5321824241/147232800
30/13,7/3,"9,10,11,12",8,18,0.25045297376775993,0.655022861753631,36.37528514888823,3094366937/85067840
7/3,26/11,"9,10,11,12",8,18,0.2356933772884142,0.6167605542605542,37.14075865454799,6562005469/176679360
26/11,19/8,"9,10,11,12",8,18,0.21825021781282378,0.5715414635869182,38.0454091612368,24646741319/647824320
19/8,31/13,"9,10,11,12","7,8",18,0.2585415160026746,0.6617271617271617,37.43452555022469,432108657053/11543051520
31/13,12/5,"9,10,11,12","7,8",18,0.2827909207678877,0.7433037048421663,37.089536644412775,1391410905103/37514917440
12/5,29/12,"9,10,11,12","7,8",18,0.2681711649734252,0.7071595071595072,37.66575952331884,60385805933/1603201600
29/12,17/7,"9,10,11,12","7,8",18,0.29193364716027814,0.7816396566396566,37.463554694475334,648665612941/17314577280
17/7,22/9,"9,10,11,12","6,7,8",18,0.30784107346822903,0.804266170337599,37.368880221519994,754864091873/20200340160
22/9,27/11,"9,10,11,12","6,7,8",18,0.28670823564720177,0.7557311515644849,38.08352060678588,989100090961/25971865920
27/11,32/13,"9,10,11,12","6,7,8",18,0.27326006612472986,0.7248452305270487,38.538291761046,407778696683/10581130560
32/13,5/2,"9,10,11,12","6,7,8",18,0.2639497949168647,0.7034626698088237,38.85313332937992,1457572089137/37514917440
5/2,33/13,"9,10,11,12",—,18,0.2127433032736063,0.5858585858585859,40.5847619552165,22982339/566280
33/13,28/11,"9,10,11,12",—,18,0.1989466454938483,0.5488053613053613,41.56246271211306,4249554/102245
28/11,23/9,"9,10,11,12",—,18,0.196438162261165,0.5420684113865932,41.74022648609426,26000321/622908
23/9,18/7,"9,10,11,12",8,18,0.2892197577787451,0.7673799965466632,40.02666436343593,2651957041/66254760
