category,A,M,k,E_over_C,surplus,H_ratio,budget_ratio,worst_r_over_q,theoretical_ok,actual_ok,decomp_ok,first_mismatch_x,first_mismatch_sum,first_mismatch_F,max_gap,true_ratio,C,E,V,U,budget
random<=100,"{9,19,30,33,39,44,55,61,70}",70,9,1332210.1835827664,-21876478.829787992,2.3,1.8681519958206765,3.35203096203959e-07,False,False,False,70,10,19,131,1.1252857796067672,5.4737324797721705,7292162.1517602345,5.709769203729513,2.257997526472664,10.225764256674841
random<=100,"{6,7,8,9,10}",10,5,70.7904761904762,-421.16190476190485,3.166666666666667,2.353050397877984,0.007936507936507936,False,False,False,12,5,6,26,1.244047619047619,2.0000000000000004,141.58095238095243,3.2499999999999996,0.7280503978779844,4.706100795755969
random<=100,"{9,21,30,32,38,40,71}",71,7,22326.103580030693,-405789.8851847931,1.668169014084507,1.3111705371327782,1.5664160401002506e-05,False,False,False,71,9,16,108,1.109375,6.058646616541354,135265.97191570478,4.01583445793972,1.9640422402842488,7.943918938508217
random<=100,"{16,18,20}",20,3,10.569230769230769,-43.088888888888896,2.475,1.7787620487620486,0.08333333333333333,False,False,False,36,4,5,15,1.6145833333333333,1.4444444444444446,15.26666666666667,1.8055555555555554,0.381883701883702,2.5693229593229594
random<=100,"{9,10,15,19,22,25,26,34,35}",35,9,1090186.376133883,-16015104.050594611,2.9812244897959186,2.3170583289491944,2.405575160993118e-07,False,False,False,35,11,13,88,1.1374814814814815,4.896750308515016,5338370.473672459,7.694724393253804,1.8256658469377256,11.346056087129256
random<=100,"{4,5,6}",6,3,9.541666666666668,-42.93333333333334,2.125,1.6758130081300815,0.1,False,False,False,10,4,5,12,1.1666666666666667,1.6,15.26666666666667,1.9,0.3906504065040653,2.6813008130081304
random<=100,"{53,94}",94,2,53.795267042987405,-295.0919309514251,1.6808510638297873,0.9930607455870726,0.018867924528301886,False,True,False,106,2,3,8,1.5526729559748431,1.849056603773585,99.47049377759936,0.33333333333333326,0.7514460981213816,1.8362255295760965
random<=100,"{9,14,26,30,43,62,65}",65,7,104419.13549869286,-2347053.6707715397,1.7427692307692308,1.0329965405577424,5.953869419735886e-06,False,False,False,65,12,18,97,1.087526427061311,7.492444539706357,782354.5816080396,5.1822051833304625,1.2787320532534756,7.739669289837414
random<=100,"{13,20,25,27,28,45,66,74,77}",77,9,102734.709466634,-1956094.3478575484,2.4138271604938275,1.9403692422677663,1.5400015400015399e-06,False,False,False,77,11,19,134,1.1244220260613704,6.346777546777549,652034.3473175475,7.073926003753959,2.620582967764433,12.315091939282825
random<=100,"{24,29,37,41,55,56,75,77,90,94}",94,10,370016361.0933848,-5725025279.903786,2.749999999999999,2.150676261205365,6.560141127004037e-10,False,False,False,94,11,16,128,1.2609803921568628,5.157452381001583,1908341762.5306191,7.4586190475698455,1.8166956782736738,11.092010404117193
random<=100,"{14,48,49,58,64,76,95}",95,7,16600.918613607188,-201167.75628726996,2.1171929824561406,1.9195659367444518,2.5656814449917897e-05,False,False,False,95,7,12,96,1.1865889212827987,4.039408866995075,67057.89784806846,4.361049232911554,1.6964312163778454,7.753911665667245
random<=100,"{12,29,33,38}",38,4,1688.8199264536888,-19391.908485948414,1.6127819548872178,0.8981877509357983,0.000522466039707419,False,True,False,58,7,8,21,1.3571428571428574,3.8286311389759673,6465.868558543696,2.3380355276906997,0.550397032094444,3.4388295918795877
random<=100,"{32,34,38,41,54,57,61,63,69,75}",75,10,435968471.52179474,-4767897600.91061,3.6771428571428566,2.7523916359173213,1.0678872799390052e-09,False,False,False,75,11,12,106,1.2962962962962963,3.6454452697701,1589299202.2780273,7.3545547302299,1.3395691697398437,10.033693069709587
random<=100,"{3,4}",4,2,3.125,-10.000000000000002,1.75,0.9499999999999998,0.3333333333333333,False,True,False,6,2,3,6,1.3888888888888888,1.3333333333333335,4.166666666666667,0.6666666666666666,0.30000000000000004,1.2666666666666666
random<=100,"{9,17,22,24,46,52}",52,6,28460.390912026407,-453982.6067879265,1.8084772370486657,1.188935996234479,1.2916892712289131e-05,False,False,False,52,9,14,83,1.1695906432748537,5.317213051228397,151329.9620004889,4.308285633093817,1.0067701815796957,6.321825996253208
random<=100,"{14,19,21,26,29,32,34,36,37,40}",40,10,119125655.2306915,-1177970689.0684464,3.785714285714286,2.7729790524230262,2.6422573662885394e-09,False,False,False,40,10,12,100,1.3347069597069596,3.296157300641128,392656898.18230176,6.953842699358872,1.093166224405101,9.140175148169075
random<=100,"{19,21,24,35,54}",54,5,494.3927875243665,-4572.024060150377,2.317460317460317,1.6596605661706672,0.0007518796992481203,False,False,False,54,6,8,58,1.203125,3.0857142857142863,1525.5548872180455,2.9142857142857137,1.1034763020918872,5.121238318469488
random<=100,"{15,36,37,39,49,50,56,57,69}",69,9,7095718.395115044,-77075712.51973283,3.0652173913043472,2.3608703579608767,5.5827123496296433e-08,False,False,False,69,9,12,109,1.2819444444444443,3.620761794596383,25691906.07024731,5.889158840324252,1.329495176887788,8.548149194099828
random<=100,"{62,72,86,87,90}",90,5,89828.10828516378,-607825.6227643118,2.660493827160494,2.0245292784693407,6.4671340248855315e-06,False,False,False,124,5,6,31,1.4986206896551724,2.2555293995912775,202609.9391468557,2.9944706004087225,0.7859573537560959,4.566385307920914
random<=100,"{7,8,9,10,11,12,13}",13,7,7345.333333333333,-53569.059740259756,4.538461538461539,2.9532817583685884,3.6075036075036075e-05,False,False,False,14,7,8,48,1.2320788530465951,2.431168831168832,17857.74545454546,5.193831168831168,0.9930476958870132,7.179926560605194
random<=100,"{18,21,31,32,43,56,73,82,85,91}",91,10,11888381332.603043,-196532490239.01266,2.6913086913086914,1.854217495118776,3.0716588170057e-11,False,False,False,91,12,20,156,1.1321730026827195,5.5104919878876,65510830082.26157,6.860415750207638,1.6786174502226965,10.217650650653031
random<=100,"{7,8,9}",9,3,14.222222222222221,-61.16666666666668,2.303030303030303,1.5208984859766692,0.05357142857142857,False,False,False,14,3,4,15,1.5918367346938778,1.5000000000000002,21.333333333333336,1.625,0.3281738644825021,2.281347728965004
