category,A,M,k,E_over_C,surplus,H_ratio,budget_ratio,worst_r_over_q,theoretical_ok,actual_ok,decomp_ok,first_mismatch_x,first_mismatch_sum,first_mismatch_F,max_gap,true_ratio,C,E,V,U,budget
smooth<=100,"{27,63}",63,2,3.5714285714285716,-24.380952380952383,1.3942386831275717,0.6922559760956177,0.3333333333333333,False,True,False,189,8,9,3,1.387037037037037,2.666666666666667,9.523809523809526,0.6666666666666663,0.5896746347941573,1.8460159362549808
smooth<=100,{2},2,1,2.0,-4.0,1.5,0.6666666666666667,1.0,False,True,True,,,,0,1.5,1.0,2.0,0.0,0.33333333333333337,0.6666666666666667
smooth<=100,"{12,20,28,33,42}",42,5,105.48629148629148,-1511.8683982683986,1.8222222222222222,1.187636130858273,0.00909090909090909,False,False,False,60,10,11,24,1.2126984126984126,4.800000000000001,506.3341991341992,4.199999999999999,0.7503267140598562,5.700653428119711
smooth<=100,"{33,45,50,70,72,84}",84,6,283.1246973365618,-2424.9558441558443,2.5,1.9763789344224427,0.0024242424242424242,False,False,False,84,6,7,56,1.3973333333333338,2.860606060606061,809.9082251082252,3.55050505050505,1.0515682536789688,5.653641557862988
smooth<=100,"{42,55,66,70,72,80,88}",88,7,201.33143090093762,-1705.4072150072152,3.002840909090909,2.1738528515702606,0.0015873015873015875,False,False,False,88,7,8,51,1.3415404040404042,2.8317460317460323,570.1194805194806,4.268253968253968,0.9437726088899565,6.155799186033882
smooth<=100,"{3,4,5}",5,3,9.16,-42.866666666666674,2.0571428571428574,1.4999999999999998,0.08333333333333333,False,False,False,6,3,4,14,1.2384615384615385,1.666666666666667,15.26666666666667,1.6944444444444442,0.4027777777777779,2.5
smooth<=100,"{11,14,16,18,20}",20,5,513.6348623853211,-2905.028571428572,3.232142857142857,2.487407475563268,0.0010822510822510823,False,False,False,22,5,6,39,1.395,1.8874458874458877,969.4580086580088,3.362554112554112,0.6661464487999676,4.694847010154048
smooth<=100,"{6,10,22,28,32,33,35}",35,7,224.6001917545542,-3035.6926406926414,2.0444444444444443,1.540904690785113,0.000946969696969697,False,False,False,35,8,12,67,1.179269328802039,4.515151515151516,1014.1038961038963,3.9785984848484843,1.4894098322269977,6.95741814930248
smooth<=100,"{11,14,15,18,20,21,24,25}",25,8,676.218640776699,-6025.259451659453,3.4070588235294115,2.5148038205357475,0.0005411255411255411,False,False,False,25,8,9,56,1.238245931283906,2.9725829725829733,2010.1160173160176,5.069083694083694,1.2031896611137383,7.475463016311171
smooth<=100,"{6,9,32,70}",70,4,18.504285714285714,-362.05714285714294,1.2804232804232805,0.9893015599658639,0.020833333333333332,False,True,False,70,7,18,111,1.1044238683127572,6.666666666666668,123.3619047619048,2.3949617633828155,2.100190984861473,6.595343733105761
smooth<=100,"{16,30,55,56,70,77,81}",81,7,212.8750957854406,-2879.6502164502167,2.3623188405797104,1.6539602639848994,0.0012987012987012987,False,False,False,81,9,12,72,1.211111111111111,4.5194805194805205,962.0848484848486,4.5605194805194795,1.457260856277566,7.4750411930746115
smooth<=100,"{24,44,45,60,63}",63,5,288.32967032967036,-2244.7142857142862,2.805860805860806,1.878004109726981,0.0022727272727272726,False,False,False,72,6,7,37,1.2946428571428572,2.6,749.657142857143,3.4,0.7414053426450756,4.882810685290151
smooth<=100,"{5,24,28}",28,3,16.964285714285715,-131.80952380952382,1.6785714285714286,1.2302214038916166,0.03333333333333333,False,False,False,28,4,7,46,1.1916666666666669,2.666666666666667,45.23809523809525,1.4999999999999998,0.8902952051888227,3.280590410377645
smooth<=100,"{9,11,49,50,64,70,96}",96,7,260.46721420940173,-5780.337909709339,1.3295454545454544,1.3036046700123223,0.0004329004329004329,False,False,False,96,9,23,169,1.1228119706380575,7.4092764378478675,1929.8735930735934,3.894223594923975,2.8822718854333846,9.658767365790744
smooth<=100,"{4,5,6}",6,3,9.541666666666668,-42.93333333333334,2.125,1.6758130081300815,0.1,False,False,False,10,4,5,12,1.1666666666666667,1.6,15.26666666666667,1.9,0.3906504065040653,2.6813008130081304
smooth<=100,"{5,6,7,8,9}",9,5,68.82407407407409,-421.10476190476203,3.1818181818181825,2.229289468513606,0.007142857142857143,False,False,False,10,5,6,27,1.25,2.0571428571428574,141.58095238095243,3.067857142857142,0.7590548818997098,4.585966906656562
smooth<=100,"{9,32,48}",48,3,1.625,-14.000000000000002,1.4347426470588234,0.747243273376764,0.16666666666666666,False,True,False,48,5,7,30,1.2109375,4.0,6.5,1.5476190476190474,0.7206770229440043,2.988973093507056
smooth<=100,"{24,44,49,50,55}",55,5,214.97457710950638,-1608.6646876932593,3.0,2.0226935447133383,0.002380952380952381,False,False,False,88,7,8,41,1.4317226890756303,2.500680272108844,537.5826839826841,3.7909863945578226,0.633561724614365,5.058109843786553
smooth<=100,"{6,45,70,80}",80,4,14.607999999999999,-202.36190476190478,1.3273255813953488,0.8516683415078916,0.047619047619047616,False,True,False,80,6,16,108,1.1118827160493825,4.761904761904763,69.56190476190477,1.9320523531049836,1.0617555889424888,4.055563530989961
