N	is_representable	k	n	m	power_factorization
8	YES	2	4	14	
9	YES	3	11	25	
16	YES	3	4	13	
27	YES	2	9	53	
32	YES	2	236	1342	
36	YES	2	0	7	
100	YES	2	1	23	
125	YES	2	32	373	
196	YES	2	2	47	
216	YES	2	4	79	
243	YES	2	92	1456	
324	YES	2	3	79	
343	YES	2	17	341	
484	YES	2	4	119	
676	YES	2	5	167	
900	YES	2	6	223	
1000	YES	2	42	1374	
1156	YES	2	7	287	
1225	YES	2	0	48	
1331	YES	2	35	1330	
1444	YES	2	8	359	
1764	YES	2	9	439	
2048	YES	2	89	4094	
2116	YES	2	10	527	
2197	YES	2	186	8787	
2500	YES	2	11	623	
2916	YES	2	12	727	
3364	YES	2	13	839	
3844	YES	2	14	959	
4356	YES	2	15	1087	
4900	YES	2	16	1223	
5476	YES	2	17	1367	
6084	YES	2	18	1519	
6724	YES	2	19	1679	
7396	YES	2	20	1847	
8100	YES	2	21	2023	
8836	YES	2	22	2207	
9604	YES	2	23	2399	
9801	YES	2	1	241	
4	NO				
25	NO				
49	NO				
64	NO				
81	NO				
121	NO				
128	NO				
144	NO				
169	NO				
225	NO				
256	NO				
289	NO				
361	NO				
400	NO				
441	NO				
512	NO				
529	NO				
576	NO				
625	NO				
729	NO				
784	NO				
841	NO				
961	NO				
1024	NO				
1089	NO				
1296	NO				
1369	NO				
1521	NO				
1600	NO				
1681	NO				
1728	NO				
1849	NO				
1936	NO				
2025	NO				
2187	NO				
2209	NO				
2304	NO				
2401	NO				
2601	NO				
2704	NO				
2744	NO				
2809	NO				
3025	NO				
3125	NO				
3136	NO				
3249	NO				
3375	NO				
3481	NO				
3600	NO				
3721	NO				
3969	NO				
4096	NO				
4225	NO				
4489	NO				
4624	NO				
4761	NO				
4913	NO				
5041	NO				
5184	NO				
5329	NO				
5625	NO				
5776	NO				
5832	NO				
5929	NO				
6241	NO				
6400	NO				
6561	NO				
6859	NO				
6889	NO				
7056	NO				
7225	NO				
7569	NO				
7744	NO				
7776	NO				
7921	NO				
8000	NO				
8192	NO				
8281	NO				
8464	NO				
8649	NO				
9025	NO				
9216	NO				
9261	NO				
9409	NO				
10000	NO				
