N	status	margin	worst_p	M
2	PASS	1	0	0
3	PASS	1	0	0
4	PASS	1	0	0
5	PASS	1	0	0
6	PASS	1	0	0
7	PASS	2	0	1
8	PASS	2	0	1
9	PASS	2	0	1
10	PASS	2	0	1
11	PASS	2	0	1
12	PASS	2	0	1
13	PASS	2	0	1
14	PASS	2	0	1
15	PASS	2	0	1
16	PASS	2	0	1
17	PASS	2	0	1
18	PASS	2	0	1
19	PASS	2	0	1
20	PASS	2	0	1
21	PASS	2	0	1
22	PASS	2	0	1
23	PASS	2	0	1
24	PASS	2	0	1
25	PASS	2	0	1
26	PASS	2	0	1
27	PASS	2	0	1
28	PASS	2	0	1
29	PASS	2	0	1
30	PASS	2	0	1
31	PASS	2	0	1
32	PASS	3	0	2
33	PASS	3	0	2
34	PASS	3	0	2
35	PASS	3	0	2
36	PASS	3	0	2
37	PASS	3	0	2
38	PASS	1	17	2
39	PASS	1	17	2
40	PASS	1	17	2
41	FAIL	0	17	2
42	FAIL	0	17	2
43	FAIL	0	17	2
44	FAIL	0	17	2
45	FAIL	0	17	2
46	FAIL	0	17	2
47	FAIL	0	17	2
48	FAIL	0	17	2
49	FAIL	0	17	2
50	FAIL	0	17	2
51	FAIL	0	17	2
52	FAIL	0	17	2
53	FAIL	0	17	2
54	FAIL	0	17	2
55	FAIL	0	17	2
56	FAIL	0	17	2
57	PASS	1	17	3
58	PASS	1	17	3
59	PASS	1	17	3
60	PASS	1	17	3
61	PASS	1	17	3
62	PASS	1	17	3
63	PASS	1	17	3
64	PASS	1	17	3
65	PASS	1	17	3
66	PASS	1	17	3
67	PASS	1	17	3
68	PASS	1	17	3
69	PASS	1	17	3
70	FAIL	-1	13	3
71	FAIL	-1	13	3
72	FAIL	-1	13	3
73	FAIL	-1	13	3
74	FAIL	-1	13	3
75	FAIL	-1	13	3
76	FAIL	-1	13	3
77	FAIL	-1	13	3
78	FAIL	-1	13	3
79	FAIL	-1	13	3
80	FAIL	-1	13	3
81	FAIL	-1	13	3
82	FAIL	0	13	4
83	FAIL	0	13	4
84	FAIL	0	13	4
85	FAIL	0	13	4
86	FAIL	0	13	4
87	FAIL	0	13	4
88	FAIL	0	13	4
89	FAIL	0	13	4
90	FAIL	0	13	4
91	FAIL	0	13	4
92	FAIL	0	13	4
93	FAIL	0	13	4
94	FAIL	0	13	4
95	FAIL	0	13	4
96	FAIL	0	13	4
97	FAIL	0	13	4
98	FAIL	0	13	4
99	FAIL	0	13	4
100	FAIL	0	13	4
101	FAIL	0	13	4
102	FAIL	0	13	4
103	FAIL	0	13	4
104	FAIL	0	13	4
105	FAIL	0	13	4
106	FAIL	0	13	4
107	PASS	1	13	5
108	PASS	1	13	5
109	PASS	1	13	5
110	PASS	1	13	5
111	PASS	1	13	5
112	PASS	1	13	5
113	PASS	1	13	5
114	PASS	1	13	5
115	PASS	1	13	5
116	PASS	1	13	5
117	PASS	1	13	5
118	PASS	1	13	5
119	PASS	1	13	5
120	PASS	1	13	5
121	PASS	1	13	5
122	PASS	1	13	5
123	PASS	1	13	5
124	PASS	1	13	5
125	PASS	1	13	5
126	PASS	1	13	5
127	PASS	1	13	5
128	PASS	1	13	5
129	PASS	1	13	5
130	PASS	1	13	5
131	PASS	1	13	5
132	PASS	2	13	6
133	PASS	2	13	6
134	PASS	2	13	6
135	PASS	2	13	6
136	PASS	2	13	6
137	PASS	2	13	6
138	PASS	2	13	6
139	PASS	2	13	6
140	PASS	2	13	6
141	PASS	2	13	6
142	PASS	2	13	6
143	PASS	2	13	6
144	PASS	2	13	6
145	PASS	2	13	6
146	PASS	2	13	6
147	PASS	2	13	6
148	PASS	2	13	6
149	PASS	2	13	6
150	PASS	2	13	6
151	PASS	2	13	6
152	PASS	2	13	6
153	PASS	2	13	6
154	PASS	2	13	6
155	PASS	2	13	6
156	PASS	2	13	6
157	PASS	2	13	7
158	PASS	2	13	7
159	PASS	2	13	7
160	PASS	2	13	7
161	PASS	2	13	7
162	PASS	2	13	7
163	PASS	2	13	7
164	PASS	2	13	7
165	PASS	2	13	7
166	PASS	2	13	7
167	PASS	2	13	7
168	PASS	2	13	7
169	PASS	2	13	7
170	PASS	2	13	7
171	PASS	2	13	7
172	PASS	2	13	7
173	PASS	2	13	7
174	PASS	2	13	7
175	PASS	2	13	7
176	PASS	2	13	7
177	PASS	2	13	7
178	PASS	2	13	7
179	PASS	2	13	7
180	PASS	2	13	7
181	PASS	2	13	7
182	PASS	3	13	8
183	PASS	3	13	8
184	PASS	3	13	8
185	PASS	3	13	8
186	PASS	3	13	8
187	PASS	3	13	8
188	PASS	3	13	8
189	PASS	3	13	8
190	PASS	3	13	8
191	PASS	3	13	8
192	PASS	3	13	8
193	PASS	3	13	8
194	PASS	3	13	8
195	PASS	3	13	8
196	PASS	3	13	8
197	PASS	3	13	8
198	PASS	3	13	8
199	PASS	3	13	8
200	PASS	3	13	8
201	PASS	3	13	8
202	PASS	3	13	8
203	PASS	3	13	8
204	PASS	3	13	8
205	PASS	3	13	8
206	PASS	3	13	8
207	PASS	4	13	9
208	PASS	4	13	9
209	PASS	4	13	9
210	PASS	4	13	9
211	PASS	4	13	9
212	PASS	4	13	9
213	PASS	4	13	9
214	PASS	4	13	9
215	PASS	4	13	9
216	PASS	4	13	9
