id	n	tau	factorization
0	122522400	864	2^5*3^2*5^2*7^1*11^1*13^1*17^1
1	129729600	840	2^6*3^4*5^2*7^1*11^1*13^1
2	136936800	864	2^5*3^2*5^2*7^1*11^1*13^1*19^1
3	147026880	896	2^6*3^3*5^1*7^1*11^1*13^1*17^1
4	151351200	864	2^5*3^3*5^2*7^2*11^1*13^1
5	164324160	896	2^6*3^3*5^1*7^1*11^1*13^1*19^1
6	165765600	864	2^5*3^2*5^2*7^1*11^1*13^1*23^1
7	169646400	840	2^6*3^4*5^2*7^1*11^1*17^1
8	171531360	864	2^5*3^2*5^1*7^2*11^1*13^1*17^1
9	172972800	864	2^8*3^3*5^2*7^1*11^1*13^1
10	179071200	864	2^5*3^2*5^2*7^1*11^1*17^1*19^1
11	181621440	840	2^6*3^4*5^1*7^2*11^1*13^1
12	183783600	960	2^4*3^3*5^2*7^1*11^1*13^1*17^1
13	189604800	840	2^6*3^4*5^2*7^1*11^1*19^1
14	191711520	864	2^5*3^2*5^1*7^2*11^1*13^1*19^1
15	194594400	864	2^5*3^5*5^2*7^1*11^1*13^1
16	196035840	864	2^8*3^2*5^1*7^1*11^1*13^1*17^1
17	197920800	864	2^5*3^3*5^2*7^2*11^1*17^1
18	198918720	896	2^6*3^3*5^1*7^1*11^1*13^1*23^1
19	200491200	840	2^6*3^4*5^2*7^1*13^1*17^1
20	201801600	864	2^7*3^2*5^2*7^2*11^1*13^1
21	205405200	960	2^4*3^3*5^2*7^1*11^1*13^1*19^1
22	209008800	864	2^5*3^2*5^2*7^1*11^1*13^1*29^1
23	211629600	864	2^5*3^2*5^2*7^1*13^1*17^1*19^1
24	214414200	864	2^3*3^2*5^2*7^2*11^1*13^1*17^1
25	214885440	896	2^6*3^3*5^1*7^1*11^1*17^1*19^1
26	216216000	896	2^6*3^3*5^3*7^1*11^1*13^1
27	216770400	864	2^5*3^2*5^2*7^1*11^1*17^1*23^1
28	219098880	864	2^8*3^2*5^1*7^1*11^1*13^1*19^1
29	220540320	960	2^5*3^4*5^1*7^1*11^1*13^1*17^1
30	221205600	864	2^5*3^3*5^2*7^2*11^1*19^1
31	224078400	840	2^6*3^4*5^2*7^1*13^1*19^1
32	226195200	864	2^8*3^3*5^2*7^1*11^1*17^1
33	227026800	900	2^4*3^4*5^2*7^2*11^1*13^1
34	229521600	840	2^6*3^4*5^2*7^1*11^1*23^1
35	232071840	864	2^5*3^2*5^1*7^2*11^1*13^1*23^1
36	232792560	960	2^4*3^2*5^1*7^1*11^1*13^1*17^1*19^1
37	233906400	864	2^5*3^3*5^2*7^2*13^1*17^1
38	237504960	840	2^6*3^4*5^1*7^2*11^1*17^1
39	237837600	864	2^5*3^3*5^2*7^1*11^2*13^1
40	239639400	864	2^3*3^2*5^2*7^2*11^1*13^1*19^1
41	242161920	864	2^8*3^3*5^1*7^2*11^1*13^1
42	242272800	864	2^5*3^2*5^2*7^1*11^1*19^1*23^1
43	245044800	1008	2^6*3^2*5^2*7^1*11^1*13^1*17^1
44	246486240	960	2^5*3^4*5^1*7^1*11^1*13^1*19^1
45	248648400	960	2^4*3^3*5^2*7^1*11^1*13^1*23^1
46	250699680	864	2^5*3^2*5^1*7^2*11^1*17^1*19^1
47	250810560	896	2^6*3^3*5^1*7^1*11^1*13^1*29^1
48	252252000	864	2^5*3^2*5^3*7^2*11^1*13^1
49	252806400	864	2^8*3^3*5^2*7^1*11^1*19^1
50	253955520	896	2^6*3^3*5^1*7^1*13^1*17^1*19^1
51	254469600	864	2^5*3^5*5^2*7^1*11^1*17^1
52	256183200	864	2^5*3^2*5^2*7^1*13^1*17^1*23^1
53	257297040	960	2^4*3^3*5^1*7^2*11^1*13^1*17^1
54	259459200	960	2^7*3^4*5^2*7^1*11^1*13^1
55	260124480	896	2^6*3^3*5^1*7^1*11^1*17^1*23^1
56	261424800	864	2^5*3^3*5^2*7^2*13^1*19^1
57	263894400	864	2^7*3^2*5^2*7^2*11^1*17^1
58	265224960	864	2^8*3^2*5^1*7^1*11^1*13^1*23^1
59	265446720	840	2^6*3^4*5^1*7^2*11^1*19^1
