id	n	tau	factorization
0	1	1	1
1	4	3	2^2
2	9	3	3^2
3	16	5	2^4
4	25	3	5^2
5	36	9	2^2*3^2
6	49	3	7^2
7	64	7	2^6
8	81	5	3^4
9	100	9	2^2*5^2
10	121	3	11^2
11	144	15	2^4*3^2
12	169	3	13^2
13	196	9	2^2*7^2
14	225	9	3^2*5^2
15	256	9	2^8
16	289	3	17^2
17	324	15	2^2*3^4
18	361	3	19^2
19	400	15	2^4*5^2
20	441	9	3^2*7^2
21	484	9	2^2*11^2
22	576	21	2^6*3^2
23	625	5	5^4
24	676	9	2^2*13^2
25	729	7	3^6
26	784	15	2^4*7^2
27	900	27	2^2*3^2*5^2
28	1024	11	2^10
29	1089	9	3^2*11^2
30	1156	9	2^2*17^2
31	1225	9	5^2*7^2
32	1296	25	2^4*3^4
33	1444	9	2^2*19^2
34	1521	9	3^2*13^2
35	1600	21	2^6*5^2
36	1764	27	2^2*3^2*7^2
37	1936	15	2^4*11^2
38	2025	15	3^4*5^2
39	2304	27	2^8*3^2
40	2401	5	7^4
41	2500	15	2^2*5^4
42	2601	9	3^2*17^2
43	2704	15	2^4*13^2
44	2916	21	2^2*3^6
45	3025	9	5^2*11^2
46	3136	21	2^6*7^2
47	3249	9	3^2*19^2
48	3600	45	2^4*3^2*5^2
49	3969	15	3^4*7^2
50	4096	13	2^12
51	4225	9	5^2*13^2
52	4356	27	2^2*3^2*11^2
53	4624	15	2^4*17^2
54	4900	27	2^2*5^2*7^2
55	5184	35	2^6*3^4
56	5625	15	3^2*5^4
57	5776	15	2^4*19^2
58	5929	9	7^2*11^2
59	6084	27	2^2*3^2*13^2
60	6400	27	2^8*5^2
61	6561	9	3^8
62	7056	45	2^4*3^2*7^2
63	7225	9	5^2*17^2
64	7744	21	2^6*11^2
65	8100	45	2^2*3^4*5^2
66	8281	9	7^2*13^2
67	9025	9	5^2*19^2
68	9216	33	2^10*3^2
69	9604	15	2^2*7^4
70	9801	15	3^4*11^2
71	10000	25	2^4*5^4
72	10404	27	2^2*3^2*17^2
73	10816	21	2^6*13^2
74	11025	27	3^2*5^2*7^2
75	11664	35	2^4*3^6
76	12100	27	2^2*5^2*11^2
77	12544	27	2^8*7^2
78	12996	27	2^2*3^2*19^2
79	13689	15	3^4*13^2
80	14161	9	7^2*17^2
81	14400	63	2^6*3^2*5^2
82	14641	5	11^4
83	15625	7	5^6
84	15876	45	2^2*3^4*7^2
85	16384	15	2^14
86	16900	27	2^2*5^2*13^2
87	17424	45	2^4*3^2*11^2
88	17689	9	7^2*19^2
89	18225	21	3^6*5^2
90	18496	21	2^6*17^2
91	19600	45	2^4*5^2*7^2
92	20449	9	11^2*13^2
93	20736	45	2^8*3^4
94	21609	15	3^2*7^4
95	22500	45	2^2*3^2*5^4
96	23104	21	2^6*19^2
97	23409	15	3^4*17^2
98	23716	27	2^2*7^2*11^2
99	24336	45	2^4*3^2*13^2
100	25600	33	2^10*5^2
101	26244	27	2^2*3^8
102	27225	27	3^2*5^2*11^2
103	28224	63	2^6*3^2*7^2
104	28561	5	13^4
105	28900	27	2^2*5^2*17^2
106	29241	15	3^4*19^2
107	30625	15	5^4*7^2
108	30976	27	2^8*11^2
109	32400	75	2^4*3^4*5^2
110	33124	27	2^2*7^2*13^2
111	34969	9	11^2*17^2
112	35721	21	3^6*7^2
113	36100	27	2^2*5^2*19^2
114	36864	39	2^12*3^2
115	38025	27	3^2*5^2*13^2
116	38416	25	2^4*7^4
117	39204	45	2^2*3^4*11^2
118	40000	35	2^6*5^4
119	41616	45	2^4*3^2*17^2
120	43264	27	2^8*13^2
121	43681	9	11^2*19^2
122	44100	81	2^2*3^2*5^2*7^2
123	46656	49	2^6*3^6
124	48400	45	2^4*5^2*11^2
125	48841	9	13^2*17^2
126	50176	33	2^10*7^2
127	50625	25	3^4*5^4
128	51984	45	2^4*3^2*19^2
129	53361	27	3^2*7^2*11^2
130	54756	45	2^2*3^4*13^2
131	56644	27	2^2*7^2*17^2
132	57600	81	2^8*3^2*5^2
133	58564	15	2^2*11^4
134	59049	11	3^10
135	60025	15	5^2*7^4
136	61009	9	13^2*19^2
137	62500	21	2^2*5^6
138	63504	75	2^4*3^4*7^2
139	65025	27	3^2*5^2*17^2
140	65536	17	2^16
141	67600	45	2^4*5^2*13^2
142	69696	63	2^6*3^2*11^2
143	70756	27	2^2*7^2*19^2
144	72900	63	2^2*3^6*5^2
145	73984	27	2^8*17^2
146	74529	27	3^2*7^2*13^2
147	75625	15	5^4*11^2
148	78400	63	2^6*5^2*7^2
149	81225	27	3^2*5^2*19^2
150	81796	27	2^2*11^2*13^2
151	82944	55	2^10*3^4
152	83521	5	17^4
153	86436	45	2^2*3^2*7^4
154	88209	21	3^6*11^2
155	90000	75	2^4*3^2*5^4
156	92416	27	2^8*19^2
157	93636	45	2^2*3^4*17^2
158	94864	45	2^4*7^2*11^2
159	97344	63	2^6*3^2*13^2
160	99225	45	3^4*5^2*7^2
161	102400	39	2^12*5^2
162	104329	9	17^2*19^2
163	104976	45	2^4*3^8
164	105625	15	5^4*13^2
165	108900	81	2^2*3^2*5^2*11^2
166	112896	81	2^8*3^2*7^2
167	114244	15	2^2*13^4
168	115600	45	2^4*5^2*17^2
169	116964	45	2^2*3^4*19^2
170	117649	7	7^6
171	122500	45	2^2*5^4*7^2
172	123201	21	3^6*13^2
173	123904	33	2^10*11^2
174	127449	27	3^2*7^2*17^2
175	129600	105	2^6*3^4*5^2
176	130321	5	19^4
177	131769	15	3^2*11^4
178	132496	45	2^4*7^2*13^2
179	139876	27	2^2*11^2*17^2
180	140625	21	3^2*5^6
181	142884	63	2^2*3^6*7^2
182	144400	45	2^4*5^2*19^2
183	147456	45	2^14*3^2
184	148225	27	5^2*7^2*11^2
185	152100	81	2^2*3^2*5^2*13^2
186	153664	35	2^6*7^4
187	156816	75	2^4*3^4*11^2
188	159201	27	3^2*7^2*19^2
189	160000	45	2^8*5^4
190	164025	27	3^8*5^2
191	166464	63	2^6*3^2*17^2
192	173056	33	2^10*13^2
193	174724	27	2^2*11^2*19^2
194	176400	135	2^4*3^2*5^2*7^2
195	180625	15	5^4*17^2
196	184041	27	3^2*11^2*13^2
197	186624	63	2^8*3^6
198	193600	63	2^6*5^2*11^2
199	194481	25	3^4*7^4
200	195364	27	2^2*13^2*17^2
201	200704	39	2^12*7^2
202	202500	75	2^2*3^4*5^4
203	207025	27	5^2*7^2*13^2
204	207936	63	2^6*3^2*19^2
205	210681	21	3^6*17^2
206	213444	81	2^2*3^2*7^2*11^2
207	219024	75	2^4*3^4*13^2
208	225625	15	5^4*19^2
209	226576	45	2^4*7^2*17^2
210	230400	99	2^10*3^2*5^2
211	234256	25	2^4*11^4
212	236196	33	2^2*3^10
213	240100	45	2^2*5^2*7^4
214	244036	27	2^2*13^2*19^2
215	245025	45	3^4*5^2*11^2
216	250000	35	2^4*5^6
