id	n	tau	factorization
0	1	1	1
1	2	2	2^1
2	3	2	3^1
3	4	3	2^2
4	8	4	2^3
5	9	3	3^2
6	12	6	2^2*3^1
7	16	5	2^4
8	18	6	2^1*3^2
9	25	3	5^2
10	27	4	3^3
11	32	6	2^5
12	36	9	2^2*3^2
13	48	10	2^4*3^1
14	49	3	7^2
15	50	6	2^1*5^2
16	64	7	2^6
17	72	12	2^3*3^2
18	75	6	3^1*5^2
19	81	5	3^4
20	98	6	2^1*7^2
21	100	9	2^2*5^2
22	108	12	2^2*3^3
23	121	3	11^2
24	128	8	2^7
25	144	15	2^4*3^2
26	147	6	3^1*7^2
27	162	10	2^1*3^4
28	192	14	2^6*3^1
29	196	9	2^2*7^2
30	200	12	2^3*5^2
31	225	9	3^2*5^2
32	242	6	2^1*11^2
33	243	6	3^5
34	256	9	2^8
35	288	18	2^5*3^2
36	300	18	2^2*3^1*5^2
37	324	15	2^2*3^4
38	363	6	3^1*11^2
39	392	12	2^3*7^2
40	400	15	2^4*5^2
41	432	20	2^4*3^3
42	441	9	3^2*7^2
43	450	18	2^1*3^2*5^2
44	484	9	2^2*11^2
45	512	10	2^9
46	576	21	2^6*3^2
47	588	18	2^2*3^1*7^2
48	625	5	5^4
49	648	20	2^3*3^4
50	675	12	3^3*5^2
51	729	7	3^6
52	768	18	2^8*3^1
53	784	15	2^4*7^2
54	800	18	2^5*5^2
55	882	18	2^1*3^2*7^2
56	900	27	2^2*3^2*5^2
57	968	12	2^3*11^2
58	972	18	2^2*3^5
59	1024	11	2^10
60	1089	9	3^2*11^2
61	1152	24	2^7*3^2
62	1200	30	2^4*3^1*5^2
63	1225	9	5^2*7^2
64	1250	10	2^1*5^4
65	1296	25	2^4*3^4
66	1323	12	3^3*7^2
67	1452	18	2^2*3^1*11^2
68	1458	14	2^1*3^6
69	1568	18	2^5*7^2
70	1600	21	2^6*5^2
71	1728	28	2^6*3^3
72	1764	27	2^2*3^2*7^2
73	1800	36	2^3*3^2*5^2
74	1875	10	3^1*5^4
75	1936	15	2^4*11^2
76	2025	15	3^4*5^2
