number,status,heuristic_score,comments,activity_state,formalized,prize,tags,url,statement
1,open,49,4,open,yes,$500,"['number theory', 'additive combinatorics']",https://www.erdosproblems.com/1,"If $A\subseteq \{1,\ldots,N\}$ with $\lvert A\rvert=n$ is such that the subset sums $\sum_{a\in S}a$ are distinct for all $S\subseteq A$ then\[N \gg 2^{n}.\]"
2,disproved,7,3,,no,$1000,"['number theory', 'covering systems']",https://www.erdosproblems.com/2,Can the smallest modulus of a covering system be arbitrarily large?
3,open,40,2,open,yes,$5000,"['number theory', 'additive combinatorics', 'arithmetic progressions']",https://www.erdosproblems.com/3,If $A\subseteq \mathbb{N}$ has $\sum_{n\in A}\frac{1}{n}=\infty$ then must $A$ contain arbitrarily long arithmetic progressions?
4,proved,0,3,,yes,$10000,"['number theory', 'primes']",https://www.erdosproblems.com/4,"Is it true that, for any $C>0$, there are infinitely many $n$ such that\[p_{n+1}-p_n> C\frac{\log\log n\log\log\log\log n}{(\log\log \log n)^2}\log n?\]"
5,open,50,2,open,no,no,"['number theory', 'primes']",https://www.erdosproblems.com/5,Let $C\geq 0$. Is there an infinite sequence of $n_i$ such that\[\lim_{i\to \infty}\frac{p_{n_i+1}-p_{n_i}}{\log n_i}=C?\]
6,proved,16,0,,yes,$100,"['number theory', 'primes']",https://www.erdosproblems.com/6,Let $d_n=p_{n+1}-p_n$. Are there infinitely many $n$ such that $d_n<d_{n+1}<d_{n+2}$?
7,verifiable,81,12,open,yes,no,"['number theory', 'covering systems']",https://www.erdosproblems.com/7,Is there a distinct covering system all of whose moduli are odd?
8,disproved,18,2,,no,no,"['number theory', 'covering systems']",https://www.erdosproblems.com/8,For any finite colouring of the integers is there a covering system all of whose moduli are monochromatic?
9,open,56,1,open,yes,no,"['number theory', 'additive basis', 'primes']",https://www.erdosproblems.com/9,"Let $A$ be the set of all odd integers $\geq 1$ not of the form $p+2^{k}+2^l$ (where $k,l\geq 0$ and $p$ is prime). Is the upper density of $A$ positive?"
10,open,56,1,open,yes,no,"['number theory', 'additive basis', 'primes']",https://www.erdosproblems.com/10,Is there some $k$ such that every large integer is the sum of a prime and at most $k$ powers of 2?
11,open,52,11,open,yes,no,"['number theory', 'additive basis']",https://www.erdosproblems.com/11,Is every large odd integer $n$ the sum of a squarefree number and a power of 2?
12,open,47,13,open,yes,no,['number theory'],https://www.erdosproblems.com/12,"Let $A$ be an infinite set such that there are no distinct $a,b,c\in A$ such that $a\mid (b+c)$ and $b,c>a$. Is there such an $A$ with\[\liminf \frac{\lvert A\cap\{1,\ldots,N\}\rvert}{N^{1/2}}>0?\]Does there exist some absolute constant $c>0$ such that there are always infinitely many $N$ with\[\lvert A\cap\{1,\ldots,N\}\rvert<N^{1-c}?\]Is it true that\[\sum_{n\in A}\frac{1}{n}<\infty?\]"
13,proved,20,0,,yes,$100,['number theory'],https://www.erdosproblems.com/13,"Let $A\subseteq \{1,\ldots,N\}$ be such that there are no $a,b,c\in A$ such that $a\mid(b+c)$ and $a<\min(b,c)$. Is it true that $\lvert A\rvert\leq N/3+O(1)$?"
14,open,51,1,open,yes,no,"['number theory', 'sidon sets', 'additive combinatorics']",https://www.erdosproblems.com/14,"Let $A\subseteq \mathbb{N}$. Let $B\subseteq \mathbb{N}$ be the set of integers which are representable in exactly one way as the sum of two elements from $A$.
Is it true that for all $\epsilon>0$ and large $N$\[\lvert \{1,\ldots,N\}\backslash B\rvert \gg_\epsilon N^{1/2-\epsilon}?\]Is it possible that\[\lvert \{1,\ldots,N\}\backslash B\rvert =o(N^{1/2})?\]"
15,open,56,2,open,yes,no,"['number theory', 'primes']",https://www.erdosproblems.com/15,"Is it true that\[\sum_{n=1}^\infty(-1)^n\frac{n}{p_n}\]converges, where $p_n$ is the sequence of primes?"
16,disproved (Lean),10,1,,no,no,"['number theory', 'additive basis', 'primes']",https://www.erdosproblems.com/16,Is the set of odd integers not of the form $2^k+p$ the union of an infinite arithmetic progression and a set of density $0$?
17,open,56,1,open,yes,no,"['number theory', 'primes']",https://www.erdosproblems.com/17,"Are there infinitely many primes $p$ such that every even number $n\leq p-3$ can be written as a difference of primes $n=q_1-q_2$ where $q_1,q_2\leq p$?"
18,open,59,5,open,yes,no,"['number theory', 'divisors', 'factorials']",https://www.erdosproblems.com/18,"We call $m$ practical if every integer $1\leq n<m$ is the sum of distinct divisors of $m$. If $m$ is practical then let $h(m)$ be such that $h(m)$ many divisors always suffice.
Are there infinitely many practical $m$ such that\[h(m) < (\log\log m)^{O(1)}?\]Is it true that $h(n!)<n^{o(1)}$? Or perhaps even $h(n!)<(\log n)^{O(1)}$?"
19,decidable,72,8,,no,$500,"['graph theory', 'chromatic number']",https://www.erdosproblems.com/19,If $G$ is an edge-disjoint union of $n$ copies of $K_n$ then is $\chi(G)=n$?
20,open,45,8,open,yes,$1000,['combinatorics'],https://www.erdosproblems.com/20,"Let $f(n,k)$ be minimal such that every family $\mathcal{F}$ of $n$-uniform sets with $\lvert \mathcal{F}\rvert \geq f(n,k)$ contains a $k$-sunflower. Is it true that\[f(n,k) 0$?"
21,proved,6,1,,no,$500,"['combinatorics', 'intersecting family']",https://www.erdosproblems.com/21,"Let $f(n)$ be minimal such that there is an intersecting family $\mathcal{F}$ of sets of size $n$ (so $A\cap B\neq\emptyset$ for all $A,B\in \mathcal{F}$) with $\lvert \mathcal{F}\rvert=f(n)$ such that any set $S$ with $\lvert S\rvert \leq n-1$ is disjoint from at least one $A\in \mathcal{F}$.
Is it true that\[f(n) \ll n?\]"
22,proved,21,0,,no,no,['graph theory'],https://www.erdosproblems.com/22,Let $\epsilon>0$ and $n$ be sufficiently large depending on $\epsilon$. Is there a graph on $n$ vertices with $\geq n^2/8$ many edges which contains no $K_4$ such that the largest independent set has size at most $\epsilon n$?
23,falsifiable,85,3,open,yes,no,['graph theory'],https://www.erdosproblems.com/23,Can every triangle-free graph on $5n$ vertices be made bipartite by deleting at most $n^2$ edges?
